,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,Metric,Approach,Distribution,N Important,Stability 5,Stability N/2,Feat 1 Stab,Feat 2 Stab,Feat 3 Stab,Feat 4 Stab,Feat 5 Stab,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89
1,Old Approach,BARBE,normal,11,0.09074770258980769,0.33719507340967786,0.05263157894736842,0.08421052631578947,0.042105263157894736,0.042105263157894736,0.042105263157894736,16.67830728009062,12.122359408964257,14.068497975864375,12.769722992761672,16.67830728009062,0,0,0,20.160173714838436,20.160173714838436,14.327296706932552,0,0,16.67830728009062,14.160199937396671,14.068497975864375,0.0,14.328163582030015,14.996551998171421,12.769722992761674,12.600334573743524,13.419110484313023,9.061429435946998,9.061429435946998,-12.769722992761674,12.769722992761672,0,0,0,0.0,0,12.769722992761672,8.024138481724629,13.384910197145429,-11.474995825166843,12.769722992761674,0.0,0.0,-16.479605189557528,12.769722992761674,9.061429435946998,-16.67830728009062,0,0,0
2,Old Approach,BARBE,normal,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,22.203515318904824,20.719629949792978,0,0,0,7.428723892818767,0,0,0.0,0,0,-10.049017023671553,0,0,0,0,0,0,0,0,0,0,0,0,0,10.049017023671553,0,0,0,0,17.26092894083615,10.049017023671553,0.0,0,7.428723892818767,0,0,7.428723892818767
3,Old Approach,BARBE,normal,14,0,0,0,0,0,0,0,-12.466560967249565,0,19.93057662532615,18.000218635885446,22.74753250906754,0,0.0,0,0.0,12.56422017097995,0,0,12.466560967249563,0,2.1636535947375712,-15.88076838828859,-8.738943243272514,12.038479611437355,0,10.205525200960755,0,0,0,0,12.661879374710338,0,0,0,0,0,-12.66187937471034,0.0,0,0,0,0,13.204372592033527,0,0.0,0,0.0,0,10.205525200960755,0.0,0
4,Old Approach,BARBE,normal,9,0,0,0,0,0,0,0,9.651938447792759,8.259565040596954,7.437494358316733,12.450520377581483,0,0,16.114274740104403,20.935148653585067,20.935148653585067,12.2684961257996,12.4322689886702,11.048911781488641,-8.259565040596954,12.677212781434111,0,-12.450520377581483,0,-8.259565040596954,10.583254003590014,0,-9.18781397872749,8.955751744194856,11.709585874320082,8.259565040596954,0,8.259565040596954,-11.048911781488641,-11.048911781488641,0,0,-7.437494358316733,-9.651938447792759,-11.048911781488641,3.3420173461765,11.709585874320082,10.117596225691386,11.749716079535062,12.450520377581483,11.709585874320082,0,0,0,-12.677212781434113,8.259565040596954,0.0
5,Old Approach,BARBE,normal,9,0,0,0,0,0,0,0,12.611860075287979,-12.575187880739861,0,-14.245649146738996,0,27.906879233438815,-10.77453148179848,0.0,-10.901628766831081,20.890975473606556,4.270551294671932,15.512771517794357,0.0,17.855116937863563,13.311525117805248,0,8.993496214522656,0,0,12.368130084556705,10.901628766831081,0,8.530954931747601,-0.7582971150723763,0,0,-9.764183094222517,0.7416073161447612,0,0,9.764183094222517,0,13.311525117805248,-10.647434196765877,-11.915410539786832,-14.40247232113046,9.764183094222517,12.366518030897735,8.993496214522656,8.530954931747601,0,9.843612867801774,0,0,9.764183094222517
6,Old Approach,BARBE,normal,7,0,0,0,0,0,0,0,0,16.841627117660433,15.635918928915316,11.445904482058221,12.365767789592445,17.326780885878936,15.717897783870411,13.592252199638075,0,0,0,0,0,-14.310338992494055,-14.931391961019678,-17.68331753766963,0.0,8.438423927997205,-12.2435754911046,16.965734685874054,15.635918928915316,0,0,-15.635918928915318,0,0,0,16.511865181343342,11.445904482058221,15.747677073708884,17.326780885878936,17.326780885878936,13.78871479120115,8.438423927997205,7.320425397258327,0,19.428676525261668,13.872731543693513,0,-16.300826807394685,-20.62793390300856,10.868822599929386,0.0,-7.320425397258328,0.0
7,Old Approach,BARBE,normal,17,0,0,0,0,0,0,0,0,0,0,-9.968130378194683,2.708511248155704,0,-14.008186595473388,28.20027059005747,35.47074901347029,10.848424268149328,14.651390437124974,11.656716463356515,7.2172008402132,0,-0.05026960314569351,8.123882658609029,13.24203508689705,10.271023020840403,11.289480197812768,10.824671148670078,-9.234551097477913,0,9.251486552795784,10.271023020840403,10.762266730227598,7.2172008402132,0,7.2172008402132,-9.251486552795784,10.271023020840403,0,0,-12.511818266807268,-15.9751465421419,0,-12.38327036368219,-11.182928054819737,10.271023020840403,8.123882658609029,-17.828271768538983,11.572842146325002,10.848424268149328,10.848424268149328,9.197452839724715,0.0
8,Old Approach,BARBE,normal,13,0,0,0,0,0,0,0,14.06312177464435,15.114480724173006,0,16.3971001585478,18.019328234660275,17.06533720496485,18.97837919301992,0,0,8.543353813923588,0.0,11.282438392819813,8.543353813923588,12.87781144846197,14.06312177464435,0,14.06312177464435,9.853680723081562,10.673954996056324,0,-10.013589286572937,0,10.013589286572937,0,0,0,0,0,0,0,-11.282438392819813,0,21.48927386665735,18.97837919301992,21.48927386665735,0,0,18.97837919301992,10.673954996056324,9.853680723081562,0,10.013589286572937,0,-13.831861289798214,0.0
9,Old Approach,BARBE,normal,7,0,0,0,0,0,0,0,0,0,0,0,24.552637187467617,0,25.63447787850527,25.63447787850527,0.0,0,9.564008698059284,0.0,0,0,0,-11.085688358871511,9.839032192726743,9.205350141843155,10.53701837713129,11.493370950343845,11.765159344658734,11.765159344658734,0,-9.690986841100777,0,0,-9.205350141843155,0.2616330271363454,0,9.564008698059284,0.0,0.0,9.564008698059284,0,0,-11.321917458540327,-11.281424596677383,9.839032192726743,0.0,0,0,-1.0872870782930333,12.419823420431424,0,10.53701837713129
10,Old Approach,BARBE,normal,17,0,0,0,0,0,0,0,0,0.0,20.944382061785934,0,0,0,0,19.273569531742858,0,12.360549036589873,0,8.93001111115353,0,8.955471228836409,12.715655771491129,11.235730000687882,8.221381119656428,0.0,15.84844051121134,12.48071892621711,10.604703745842107,8.97577838415345,0,0,9.79024106499778,10.604703745842107,0,7.582729080950913,0,-15.306109139339243,13.559211521498606,13.030489882953429,15.306109139339242,7.582729080950913,0,8.93001111115353,8.999989063945115,14.890545471044236,10.604703745842107,0,0,8.97577838415345,0.0,0.0,10.604703745842107
11,Old Approach,BARBE,normal,10,0,0,0,0,0,0,0,-13.212558992614234,-14.903936559731463,-11.245740793076891,-11.245740793076891,11.330217903259072,-10.442556098889368,-10.292287012558603,21.44584619191795,0,-10.869274617030852,-12.876651923217935,12.356282184927098,0,10.442556098889368,12.139449769425937,11.245740793076891,0,14.279762389589601,10.720369134158592,11.330217903259072,10.720369134158592,0,11.2377166566517,12.356282184927098,12.356282184927098,-11.872963270124394,0,0,-16.98226296364612,11.2377166566517,10.869274617030852,11.2377166566517,-11.245740793076891,-11.245740793076891,0.0,-9.983059570703341,10.720369134158592,-9.983059570703341,11.259735458308915,11.259735458308915,12.876651923217935,-11.72706941358682,-12.3562821849271,12.876651923217935,16.15732352265013
12,Old Approach,BARBE,normal,11,0,0,0,0,0,0,0,12.94429284024118,13.15996206057979,0,11.093915365700127,16.012572078447825,17.40426089714046,20.391946190362926,12.507015004772562,10.247214313600217,9.74599372144283,9.64583620193122,9.84615124095444,0,0,0.0,-7.584878198317027,-9.84645744943441,12.34515742135534,9.974003655733027,10.247214313600217,0,10.921036710440553,11.093915365700127,9.84645744943441,0,0,12.34515742135534,-12.347062479572115,0,-12.544387272362277,0,7.584878198317026,0,7.584878198317026,0,0,0.0,9.84645744943441,0,11.296185867477778,0.0,9.750346943294128,11.68085271670972,0.0,10.037180010997726
13,Old Approach,BARBE,normal,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.030994000408297,13.156609045366736,11.924139393209595,-18.240490417715563,0.0,0,0,0,-13.156609045366736,-12.584730610985206,9.622179868260874,14.936902558252902,0,-12.093801522887517,0,11.684530350734546,0,0,8.477858351526308,0.0,8.477858351526308,0,0,0,0,0,0,0,0,0,11.684530350734546,11.684530350734546,12.33607455903108,11.030994000408297,0,0,0,8.477858351526308
14,Old Approach,BARBE,normal,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.984666997133104,8.316375773389026,0,8.316375773389026,0,0,14.511505619811324,12.877976974856944,9.138989828529054,13.620036891619073,9.138989828529054,10.334159010790684,9.930955890191829,10.397295000740964,0,10.273049241776562,9.354174898627853,0,-11.391606617973078,0,0,10.273049241776562,-9.354174898627853,0.0,-9.354174898627853,9.138989828529054,10.762266730227598,0,10.271023020840403,12.383270363682188,8.316375773389026,0.0,0,0,0,9.930955890191829,10.762266730227598
15,Old Approach,BARBE,normal,10,0,0,0,0,0,0,0,-12.715655771491129,22.790107246271027,0,21.671625361967962,0,0,0,14.189437634667529,12.57891601848666,11.932314049460155,0,0,0,-10.141270540023356,7.988370215054885,0.0,0,0,11.81231390365797,11.426468784271606,10.063143450741821,0,0,0,0,0,11.426468784271606,10.141270540023356,0,0,0,0,11.81231390365797,0,0.0,7.988370215054885,12.716994755102291,0,0,0,10.744806117506712,10.937728677199896,7.988370215054885,0,0.0
16,Old Approach,BARBE,normal,14,0,0,0,0,0,0,0,19.452187053610814,18.17468263281596,18.20830130336678,0,19.697758767035516,16.25638507164806,0,0,13.897782771685433,21.432429927817083,9.88317829046406,12.778222501714005,10.577899630184943,0,10.577899630184943,0,0.0,0.0,0,0,0,13.897782771685433,0,14.089758222901434,0,0,0,0,-14.089758222901434,0,0,0,0,0,0,0,-10.577899630184943,0,9.88317829046406,9.88317829046406,-12.778222501714007,0,-19.43181782487691,-21.432429927817083,-18.423011920394693
17,Old Approach,BARBE,normal,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.421518747017224,0,11.827650081526295,13.926912797382187,0,0,12.741236818256436,0,13.708935040794003,16.91245024047318,10.282743249902582,9.985687850656031,13.03939079460804,7.901713348826326,-7.4248585982864075,0,0,0.0,-7.4248585982864075,7.825418040448615,-11.827650081526295,-7.901713348826327,7.424858598286408,0,-9.054080645175599,7.825418040448615,-15.401984921517851,-12.55963934933641,0.0,12.741236818256436,9.174386285092448,12.741236818256436,12.705744891723173,0,11.209102980291163,13.980812135427128,11.014401262007274
18,Old Approach,BARBE,normal,18,0,0,0,0,0,0,0,13.48618831770966,-12.604392779116024,0,0,17.659052632688677,0,10.936089600251156,0,9.764183094222517,17.369960121139105,0,0,11.405480502462524,-10.382648845861866,9.764183094222517,8.720728897431698,0.37561971638311364,0,-9.764183094222517,7.86539277260349,11.384122932258421,8.720728897431698,0,-13.059922130013774,9.764183094222517,0,0.0,12.604392779116026,0,0,-12.421957700282212,11.001114597501214,8.814787933413003,-12.087577217180954,0,13.059922130013774,-12.769673931899382,-16.034015432787694,0,-16.037164226605203,0.0,11.642814782750042,9.764183094222517,0,11.001114597501214
19,Old Approach,BARBE,normal,11,0,0,0,0,0,0,0,13.922047984705172,16.879816886466344,11.909230027539092,13.922047984705172,13.507615629723063,16.5648964855587,10.399833275652604,12.343775632569216,17.01139323957666,11.093915365700127,9.750346943294128,8.602757987092332,0,-11.41682074796145,0,10.765601589623827,-11.093915365700127,0,0,7.7305071342925995,0,16.1904033335822,-8.602757987092332,-16.1904033335822,0,0,0.0,11.093915365700127,0,0,-10.953209101870797,-14.090685566642275,10.631639098697931,12.54699611189274,0,7.7305071342925995,7.7305071342925995,11.093915365700127,0,0,-15.905194032999018,-17.85443973993367,0,0,-9.750346943294128
20,Old Approach,BARBE,normal,18,0,0,0,0,0,0,0,-12.861678779519382,-10.39868510084246,-13.06154007644546,-9.174745279297868,0,0,39.79768667529524,23.841568081133065,-12.734552121434092,15.511196518972266,12.535045295602094,19.868773529959235,11.52378598933592,0,13.542625121485239,0,8.935311405664038,8.308918185865815,-9.174745279297868,13.1614707249085,8.935311405664038,10.227537908901013,-9.174745279297868,0,-11.622624922387052,9.174745279297868,-11.919366869470288,11.52378598933592,-14.700316527429948,0,0,-7.931754392025985,0,0,0,8.935311405664038,11.52378598933592,10.227537908901013,10.205126215103904,-7.931754392025985,15.511196518972266,8.132171707599339,0.0,0,0
